finding,entity,detail,classification,evidence_based_rationale,remediation,observed_at
unindexed_foreign_keys,public.emails,Table \`public.emails\` has a foreign key \`emails_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.emails,Table \`public.emails\` has a foreign key \`emails_sender_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.emails,Table \`public.emails\` has a foreign key \`emails_template_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.field_definitions,Table \`public.field_definitions\` has a foreign key \`field_definitions_entity_same_org\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.field_definitions,Table \`public.field_definitions\` has a foreign key \`field_definitions_organisation_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.import_jobs,Table \`public.import_jobs\` has a foreign key \`import_jobs_created_by_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.invoices,Table \`public.invoices\` has a foreign key \`invoices_order_same_org\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.layout_definitions,Table \`public.layout_definitions\` has a foreign key \`layout_definitions_entity_same_org\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.layout_definitions,Table \`public.layout_definitions\` has a foreign key \`layout_definitions_organisation_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.lead_agreements,Table \`public.lead_agreements\` has a foreign key \`lead_agreements_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.lead_agreements,Table \`public.lead_agreements\` has a foreign key \`lead_agreements_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.lead_audit_log,Table \`public.lead_audit_log\` has a foreign key \`lead_audit_log_actor_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.lead_audit_log,Table \`public.lead_audit_log\` has a foreign key \`lead_audit_log_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.lead_events,Table \`public.lead_events\` has a foreign key \`lead_events_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.media_processing_jobs,Table \`public.media_processing_jobs\` has a foreign key \`media_processing_jobs_owner_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.messages,Table \`public.messages\` has a foreign key \`messages_conversation_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.messages,Table \`public.messages\` has a foreign key \`messages_conversation_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.messages,Table \`public.messages\` has a foreign key \`messages_sender_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.orders,Table \`public.orders\` has a foreign key \`orders_customer_same_org\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.organisation_invitations,Table \`public.organisation_invitations\` has a foreign key \`organisation_invitations_created_by_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.outbox_messages,Table \`public.outbox_messages\` has a foreign key \`outbox_messages_organisation_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.platform_documents,Table \`public.platform_documents\` has a foreign key \`platform_documents_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.platform_documents,Table \`public.platform_documents\` has a foreign key \`platform_documents_original_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.report_snapshots,Table \`public.report_snapshots\` has a foreign key \`report_snapshots_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_events,Table \`public.signature_events\` has a foreign key \`signature_events_actor_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_events,Table \`public.signature_events\` has a foreign key \`signature_events_recipient_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_fields,Table \`public.signature_fields\` has a foreign key \`signature_fields_recipient_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_recipients,Table \`public.signature_recipients\` has a foreign key \`signature_recipients_request_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_requests,Table \`public.signature_requests\` has a foreign key \`signature_requests_completed_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_requests,Table \`public.signature_requests\` has a foreign key \`signature_requests_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.signature_requests,Table \`public.signature_requests\` has a foreign key \`signature_requests_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.site_requests,Table \`public.site_requests\` has a foreign key \`site_requests_assigned_to_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.site_requests,Table \`public.site_requests\` has a foreign key \`site_requests_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.stored_files,Table \`public.stored_files\` has a foreign key \`stored_files_created_by_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.trial_accounts,Table \`public.trial_accounts\` has a foreign key \`trial_accounts_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.video_templates,Table \`public.video_templates\` has a foreign key \`video_templates_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.videos,Table \`public.videos\` has a foreign key \`videos_assigned_to_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unindexed_foreign_keys,public.videos,Table \`public.videos\` has a foreign key \`videos_lead_id_fkey\` without a covering index. This can lead to suboptimal query performance.,DEFER UNTIL SCALE,The 33 affected tables total 14 estimated live rows; 29 are empty and the largest has 5 rows. Production telemetry shows no material FK join or cascade bottleneck. Re-evaluate when row counts or query latency increase.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,2026-09-02T01:23:32.203Z
unused_index,public.analytics_snapshots,Index \`idx_snapshots_date\` on table \`public.analytics_snapshots\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.leads,Index \`idx_leads_status\` on table \`public.leads\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.leads,Index \`idx_leads_assigned_to\` on table \`public.leads\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.leads,Index \`idx_leads_created_at\` on table \`public.leads\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.lead_tasks,Index \`idx_lead_tasks_assignee\` on table \`public.lead_tasks\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.lead_assets,Index \`idx_lead_assets_lead_id\` on table \`public.lead_assets\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.lead_events,Index \`idx_lead_events_lead_id\` on table \`public.lead_events\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.lead_tasks,Index \`idx_lead_tasks_lead_id\` on table \`public.lead_tasks\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.email_threads,Index \`idx_email_threads_owner_last\` on table \`public.email_threads\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.email_threads,Index \`idx_email_threads_owner_unread\` on table \`public.email_threads\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.emails,Index \`idx_emails_owner_folder_time\` on table \`public.emails\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.emails,Index \`idx_emails_thread_time\` on table \`public.emails\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.emails,Index \`idx_emails_owner_unread\` on table \`public.emails\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.signature_fields,Index \`idx_signature_fields_request_page\` on table \`public.signature_fields\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.signature_events,Index \`idx_signature_events_request_time\` on table \`public.signature_events\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.media_processing_jobs,Index \`idx_media_jobs_asset_created\` on table \`public.media_processing_jobs\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.api_rate_limit_buckets,Index \`api_rate_limit_buckets_reset_at_idx\` on table \`public.api_rate_limit_buckets\` has not been used,INTENTIONALLY IGNORE,"Retain the reset_at index: it supports bounded expired-bucket cleanup. It is new, so zero scans before production traffic are expected.",https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
unused_index,public.licensed_users,Index \`idx_licensed_users_email\` on table \`public.licensed_users\` has not been used,INTENTIONALLY IGNORE,Retain for now: current tables are tiny/low-write and the observation window is not sufficient proof that the index is obsolete. Dropping it would risk future read regressions for negligible current write savings.,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,2026-09-02T01:23:32.203Z
